"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"1500000US060855123071","Block Group 1, Census Tract 5123.07, Santa Clara County, California","134135","null","27027","null",
"1500000US060855123072","Block Group 2, Census Tract 5123.07, Santa Clara County, California","146827","null","38270","null",
"1500000US060855123073","Block Group 3, Census Tract 5123.07, Santa Clara County, California","115333","null","43598","null",
"1500000US060855123081","Block Group 1, Census Tract 5123.08, Santa Clara County, California","236382","null","9386","null",
"1500000US060855123082","Block Group 2, Census Tract 5123.08, Santa Clara County, California","167600","null","30215","null",
"1500000US060855123083","Block Group 3, Census Tract 5123.08, Santa Clara County, California","151226","null","45451","null",
"1500000US060855123091","Block Group 1, Census Tract 5123.09, Santa Clara County, California","160682","null","49265","null",
"1500000US060855123092","Block Group 2, Census Tract 5123.09, Santa Clara County, California","135417","null","22714","null",
"1500000US060855123093","Block Group 3, Census Tract 5123.09, Santa Clara County, California","132083","null","73839","null",
"1500000US060855123101","Block Group 1, Census Tract 5123.10, Santa Clara County, California","69643","null","36019","null",
"1500000US060855123102","Block Group 2, Census Tract 5123.10, Santa Clara County, California","114333","null","43008","null",
"1500000US060855123111","Block Group 1, Census Tract 5123.11, Santa Clara County, California","201094","null","75934","null",
"1500000US060855123112","Block Group 2, Census Tract 5123.11, Santa Clara County, California","93711","null","4056","null",
"1500000US060855123121","Block Group 1, Census Tract 5123.12, Santa Clara County, California","160750","null","16953","null",
"1500000US060855123131","Block Group 1, Census Tract 5123.13, Santa Clara County, California","81813","null","21783","null",
"1500000US060855123132","Block Group 2, Census Tract 5123.13, Santa Clara County, California","120341","null","37780","null",
"1500000US060855123141","Block Group 1, Census Tract 5123.14, Santa Clara County, California","134485","null","22315","null",
"1500000US060855123142","Block Group 2, Census Tract 5123.14, Santa Clara County, California","79203","null","13430","null",
"1500000US060855123143","Block Group 3, Census Tract 5123.14, Santa Clara County, California","73750","null","21257","null",
"1500000US060855123144","Block Group 4, Census Tract 5123.14, Santa Clara County, California","42130","null","9188","null",
"1500000US060855124011","Block Group 1, Census Tract 5124.01, Santa Clara County, California","187986","null","109831","null",
"1500000US060855124012","Block Group 2, Census Tract 5124.01, Santa Clara County, California","120417","null","21053","null",
"1500000US060855124013","Block Group 3, Census Tract 5124.01, Santa Clara County, California","79063","null","68516","null",
"1500000US060855124021","Block Group 1, Census Tract 5124.02, Santa Clara County, California","74375","null","30606","null",
"1500000US060855124022","Block Group 2, Census Tract 5124.02, Santa Clara County, California","-","-","**","**",
"1500000US060855124023","Block Group 3, Census Tract 5124.02, Santa Clara County, California","136250","null","7094","null",
"1500000US060855124024","Block Group 4, Census Tract 5124.02, Santa Clara County, California","91806","null","51048","null",
"1500000US060855125051","Block Group 1, Census Tract 5125.05, Santa Clara County, California","112578","null","28400","null",
"1500000US060855125052","Block Group 2, Census Tract 5125.05, Santa Clara County, California","76620","null","24718","null",
"1500000US060855125053","Block Group 3, Census Tract 5125.05, Santa Clara County, California","141336","null","42931","null",
"1500000US060855125091","Block Group 1, Census Tract 5125.09, Santa Clara County, California","162103","null","3141","null",
"1500000US060855125092","Block Group 2, Census Tract 5125.09, Santa Clara County, California","157760","null","39636","null",
"1500000US060855125093","Block Group 3, Census Tract 5125.09, Santa Clara County, California","90000","null","27376","null",
"1500000US060855125101","Block Group 1, Census Tract 5125.10, Santa Clara County, California","185202","null","28064","null",
"1500000US060855125102","Block Group 2, Census Tract 5125.10, Santa Clara County, California","85486","null","18996","null",
"1500000US060855125103","Block Group 3, Census Tract 5125.10, Santa Clara County, California","64159","null","6446","null",
"1500000US060855125111","Block Group 1, Census Tract 5125.11, Santa Clara County, California","61375","null","41840","null",
"1500000US060855125112","Block Group 2, Census Tract 5125.11, Santa Clara County, California","125195","null","55194","null",
"1500000US060855125121","Block Group 1, Census Tract 5125.12, Santa Clara County, California","76938","null","19993","null",
"1500000US060855125122","Block Group 2, Census Tract 5125.12, Santa Clara County, California","69711","null","20820","null",
"1500000US060855125131","Block Group 1, Census Tract 5125.13, Santa Clara County, California","84250","null","36707","null",
"1500000US060855125132","Block Group 2, Census Tract 5125.13, Santa Clara County, California","93839","null","32677","null",
"1500000US060855125141","Block Group 1, Census Tract 5125.14, Santa Clara County, California","116875","null","29855","null",
"1500000US060855125142","Block Group 2, Census Tract 5125.14, Santa Clara County, California","85750","null","39464","null",
"1500000US060855125151","Block Group 1, Census Tract 5125.15, Santa Clara County, California","161310","null","62538","null",
"1500000US060855125152","Block Group 2, Census Tract 5125.15, Santa Clara County, California","154397","null","48130","null",
"1500000US060855125153","Block Group 3, Census Tract 5125.15, Santa Clara County, California","176000","null","66900","null",
"1500000US060855125161","Block Group 1, Census Tract 5125.16, Santa Clara County, California","132086","null","24419","null",
"1500000US060855125162","Block Group 2, Census Tract 5125.16, Santa Clara County, California","181389","null","20289","null",
"1500000US060855126021","Block Group 1, Census Tract 5126.02, Santa Clara County, California","68500","null","21338","null",
"1500000US060855126022","Block Group 2, Census Tract 5126.02, Santa Clara County, California","150774","null","14789","null",
"1500000US060855126031","Block Group 1, Census Tract 5126.03, Santa Clara County, California","83214","null","17927","null",
"1500000US060855126032","Block Group 2, Census Tract 5126.03, Santa Clara County, California","47315","null","11792","null",
"1500000US060855126033","Block Group 3, Census Tract 5126.03, Santa Clara County, California","73074","null","8303","null",
"1500000US060855126041","Block Group 1, Census Tract 5126.04, Santa Clara County, California","73152","null","21989","null",
"1500000US060855126042","Block Group 2, Census Tract 5126.04, Santa Clara County, California","91780","null","13741","null",
"1500000US060855130001","Block Group 1, Census Tract 5130, Santa Clara County, California","-","-","**","**",
"1500000US060855130002","Block Group 2, Census Tract 5130, Santa Clara County, California","56105","null","19267","null",
"1500000US060855130003","Block Group 3, Census Tract 5130, Santa Clara County, California","-","-","**","**",
"1500000US060855130004","Block Group 4, Census Tract 5130, Santa Clara County, California","64799","null","15295","null",
"1500000US060855130005","Block Group 5, Census Tract 5130, Santa Clara County, California","39583","null","7830","null",
"1500000US060855130006","Block Group 6, Census Tract 5130, Santa Clara County, California","36469","null","2479","null",
"1500000US060855135001","Block Group 1, Census Tract 5135, Santa Clara County, California","121213","null","27062","null",
